time[s],setpoint[rad],velocity[rad]
 61.255000,7793.21924,7793.21973
 61.257500,7793.21924,7793.20996
 61.260000,7793.21924,7793.20996
 61.262500,7793.21924,7793.22217
 61.265000,7793.21924,7793.22852
 61.267500,7793.21924,7793.21729
 61.270000,7793.21924,7793.21729
 61.272500,7793.21924,7793.22021
 61.275000,7793.21924,7793.21045
 61.277500,7793.21924,7793.22852
 61.280000,7793.21924,7793.22852
 61.282500,7793.21924,7793.21680
 61.285000,7793.21924,7793.22119
 61.287500,7793.21924,7793.21143
 61.290000,7793.21924,7793.21143
 61.292500,7793.21924,7793.22070
 61.295000,7793.21924,7793.22803
 61.297500,7793.21924,7793.21680
 61.300000,7793.21924,7793.21680
 61.302500,7793.21924,7793.22168
 61.305000,7793.21924,7793.21191
 61.307500,7793.21924,7793.22021
 61.310000,7793.21924,7793.22754
 61.312500,7793.21924,7793.21680
 61.315000,7793.21924,7793.22217
 61.317500,7793.21924,7793.22217
 61.320000,7793.21924,7793.21973
 61.322500,7793.21924,7793.22754
 61.325000,7793.21924,7793.22754
 61.327500,7793.21924,7793.21631
 61.330000,7793.21924,7793.22266
 61.332500,7793.21924,7793.21289
 61.335000,7793.21924,7793.21289
 61.337500,7793.21924,7793.21924
 61.340000,7793.21924,7793.22705
 61.342500,7793.21924,7793.21729
 61.345000,7793.21924,7793.21729
 61.347500,7793.21924,7793.22314
 61.350000,7793.21924,7793.21289
 61.352500,7793.21924,7793.22656
 61.355000,7793.21924,7793.21582
 61.357500,7793.21924,7793.21729
 61.360000,7793.21924,7793.22314
 61.362500,7793.21924,7793.22314
 61.365000,7793.21924,7793.21289
 61.367500,7793.21924,7793.21924
 61.370000,7793.21924,7793.21582
 61.372500,7793.21924,7793.21729
 61.375000,7793.21924,7793.21729
 61.377500,7793.21924,7793.22363
 61.380000,7793.21924,7793.22363
 61.382500,7793.21924,7793.22656
 61.385000,7793.21924,7793.21582
 61.387500,7793.21924,7793.21582
 61.390000,7793.21924,7793.21729
 61.392500,7793.21924,7793.22363
 61.395000,7793.21924,7793.21338
 61.397500,7793.21924,7793.26758
 61.400000,5941.54932,7793.26758
 61.402500,5941.54932,7793.17383
 61.405000,5941.54932,6773.60352
 61.407500,5941.54932,6499.31885
 61.410000,5941.54932,6499.31885
 61.412500,5941.54932,6315.41602
 61.415000,5941.54932,6192.15283
 61.417500,5941.54932,6109.53564
 61.420000,5941.54932,6054.15088
 61.422500,5941.54932,6017.03955
 61.425000,5941.54932,5992.13818
 61.427500,5941.54932,5964.30469
 61.430000,5941.54932,5956.78125
 61.432500,5941.54932,5956.78125
 61.435000,5941.54932,5951.75244
 61.437500,5941.54932,5948.41553
 61.440000,5941.54932,5944.61230
 61.442500,5941.54932,5943.64062
 61.445000,5941.54932,5943.64062
 61.447500,5941.54932,5942.92188
 61.450000,5941.54932,5942.46143
 61.452500,5941.54932,5941.95459
 61.455000,5941.54932,5941.81299
 61.457500,5941.54932,5941.81299
 61.460000,5941.54932,5941.75635
 61.462500,5941.54932,5941.66650
 61.465000,5941.54932,5941.63135
 61.467500,5941.54932,5941.63135
 61.470000,5941.54932,5941.57520
 61.472500,5941.54932,5941.66797
 61.475000,5941.54932,5941.47363
 61.477500,5941.54932,5941.54492
