time[s],setpoint[kRPM],velocity[kRPM]
1.866414,4023.89,4024.86
1.871576,4023.89,4024.86
1.876788,4023.89,4025.0
1.882042,4023.89,4024.86
1.887296,4023.89,4024.86
1.892482,4023.89,4024.71
1.897653,4023.89,4024.86
1.902817,4023.89,4024.71
1.90808,4023.89,4024.86
1.913366,4023.89,4024.71
1.918599,4023.89,4024.86
1.923825,4023.89,4024.71
1.929123,4023.89,4024.86
1.934352,4023.89,4024.86
1.939517,4023.89,4024.71
1.944792,4023.89,4024.86
1.950036,4023.89,4024.86
1.955283,4023.89,4024.86
1.960685,4023.89,4024.71
1.966015,4023.89,4024.86
1.971448,4023.89,4024.71
1.9768,4023.89,4024.86
1.982117,4023.89,4024.86
1.987345,4023.89,4024.86
1.992638,4023.89,4024.71
1.997836,4023.89,4024.86
2.0031,3359.27,4024.71
2.008319,3359.27,4024.29
2.013512,3359.27,4022.43
2.018704,3359.27,4019.43
2.023874,3359.27,4013.86
2.029039,3359.27,4006.0
2.034245,3359.27,3996.29
2.039404,3359.27,3984.71
2.044591,3359.27,3971.29
2.04987,3359.27,3956.43
2.055123,3359.27,3940.14
2.060518,3359.27,3921.86
2.065818,3359.27,3903.71
2.071107,3359.27,3884.29
2.076383,3359.27,3864.57
2.081573,3359.27,3844.86
2.086743,3359.27,3825.29
2.092014,3359.27,3804.29
2.097265,3359.27,3784.14
2.102551,3359.27,3762.29
2.107766,3359.27,3742.29
2.112945,3359.27,3722.29
2.118204,3359.27,3700.57
2.123416,3359.27,3681.29
2.128642,3359.27,3661.43
2.133822,3359.27,3640.71
2.139002,3359.27,3621.29
2.144255,3359.27,3602.29
2.149479,3359.27,3582.29
2.154669,3359.27,3562.29
2.159914,3359.27,3544.14
2.165132,3359.27,3525.14
2.170318,3359.27,3505.86
2.17557,3359.27,3486.57
2.180799,3359.27,3468.57
2.186054,3359.27,3450.14
2.191306,3359.27,3431.14
2.196568,3359.27,3413.43
2.201815,3359.27,3397.14
2.207221,3359.27,3382.57
2.21266,3359.27,3370.43
2.217978,3359.27,3361.0
2.223273,3359.27,3353.71
2.228551,3359.27,3348.14
2.233802,3359.27,3344.43
2.239022,3359.27,3342.0
2.244264,3359.27,3340.71
2.249477,3359.27,3340.43
2.254837,3359.27,3341.14
2.260244,3359.27,3342.29
2.265529,3359.27,3344.0
2.27095,3359.27,3346.14
2.276382,3359.27,3348.29
2.281581,3359.27,3350.86
2.286777,3359.27,3353.29
2.291967,3359.27,3355.57
2.297185,3359.27,3358.0
2.302462,3359.27,3360.29
2.307713,3359.27,3362.43
2.312869,3359.27,3364.29
2.318047,3359.27,3366.0
2.323325,3359.27,3367.57
2.32869,3359.27,3368.86
2.333975,3359.27,3370.0
2.339145,3359.27,3370.86
2.344377,3359.27,3371.71
2.349537,3359.27,3372.29
2.354782,3359.27,3372.71
2.360021,3359.27,3373.0
2.365311,3359.27,3373.29
2.370574,3359.27,3373.29
2.375784,3359.27,3373.43
2.380991,3359.27,3373.43
2.386319,3359.27,3373.43
2.391602,3359.27,3373.29
2.396903,3359.27,3373.14
2.402157,3359.27,3373.0
2.40743,3359.27,3372.71
2.412693,3359.27,3372.57
2.418063,3359.27,3372.14
2.423321,3359.27,3372.0
2.428485,3359.27,3371.71
2.433683,3359.27,3371.43
2.438908,3359.27,3371.14
2.444093,3359.27,3371.14
2.449267,3359.27,3370.86
2.454425,3359.27,3370.71
2.4597,3359.27,3370.57
2.464908,3359.27,3370.43
2.470316,3359.27,3370.29
2.475734,3359.27,3370.29
2.480951,3359.27,3370.14
2.486111,3359.27,3370.14
2.491307,3359.27,3370.0
2.496748,3359.27,3369.86
2.502072,3359.27,3369.71
2.50749,3359.27,3369.57
2.512741,3359.27,3369.71
2.517996,3359.27,3369.57
2.526011,3359.27,3369.57
2.531239,3359.27,3369.57
2.536514,3359.27,3369.57
2.541783,3359.27,3369.43
2.547216,3359.27,3369.43
2.552648,3359.27,3369.43
2.557948,3359.27,3369.29
2.563386,3359.27,3369.14
2.568617,3359.27,3369.14
2.57381,3359.27,3369.14
2.579058,3359.27,3369.0
2.584337,3359.27,3369.0
2.589539,3359.27,3369.0
2.594765,3359.27,3369.0
2.600027,3359.27,3369.0
2.605215,3359.27,3369.0
2.610407,3359.27,3369.0
2.615665,3359.27,3368.86
2.620837,3359.27,3368.86
2.626043,3359.27,3368.86
2.631285,3359.27,3368.86
2.636531,3359.27,3368.71
2.641774,3359.27,3368.71
2.647043,3359.27,3368.57
2.652352,3359.27,3368.43
2.657611,3359.27,3368.43
2.662867,3359.27,3368.29
2.668152,3359.27,3368.29
2.673365,3359.27,3368.14
2.678553,3359.27,3368.14
2.683759,3359.27,3368.0
2.688996,3359.27,3368.0
2.694222,3359.27,3368.0
2.699464,3359.27,3368.0
2.704748,3359.27,3367.86
2.71,3359.27,3367.86
2.715246,3359.27,3367.86
2.720481,3359.27,3367.71
2.725736,3359.27,3367.71
2.731004,3359.27,3367.57
2.736264,3359.27,3367.43
2.741513,3359.27,3367.43
2.746789,3359.27,3367.29
2.752053,3359.27,3367.29
2.757328,3359.27,3367.29
2.76277,3359.27,3367.29
2.768203,3359.27,3367.29
2.773516,3359.27,3367.29
2.778811,3359.27,3367.14
2.784045,3359.27,3367.14
2.789256,3359.27,3367.0
2.794475,3359.27,3367.0
2.799716,3359.27,3367.0
2.804906,3359.27,3367.0
2.810164,3359.27,3366.86
2.815384,3359.27,3366.86
2.820676,3359.27,3366.86
2.825943,3359.27,3366.86
2.831184,3359.27,3366.71
2.836433,3359.27,3366.71
2.841632,3359.27,3366.71
2.846868,3359.27,3366.71
2.852077,3359.27,3366.71
2.85732,3359.27,3366.86
2.862565,3359.27,3366.86
2.867797,3359.27,3366.71
2.873063,3359.27,3366.71
2.878382,3359.27,3366.57
2.883612,3359.27,3366.57
2.888782,3359.27,3366.57
2.893966,3359.27,3366.57
2.899218,3359.27,3366.43
2.904636,3359.27,3366.29
2.909899,3359.27,3366.29
2.915113,3359.27,3366.29
2.920352,3359.27,3366.29
2.925608,3359.27,3366.14
2.931027,3359.27,3366.29
2.936309,3359.27,3366.14
2.94157,3359.27,3366.29
2.94699,3359.27,3366.14
2.952221,3359.27,3366.14
2.957468,3359.27,3366.0
2.96288,3359.27,3366.0
2.96831,3359.27,3365.86
2.973636,3359.27,3365.86
2.978838,3359.27,3365.86
2.984071,3359.27,3365.86
2.989315,3359.27,3365.86
2.994706,3359.27,3365.86
2.99996,4485.22,3365.71
3.005175,4485.22,3366.29
3.010583,4485.22,3367.86
3.016013,4485.22,3371.57
3.021296,4485.22,3377.43
3.02672,4485.22,3385.86
3.032155,4485.22,3396.71
3.037464,4485.22,3409.29
3.042897,4485.22,3423.43
3.048131,4485.22,3438.86
3.053403,4485.22,3455.71
3.05883,4485.22,3474.29
3.064049,4485.22,3492.43
3.069284,4485.22,3511.71
3.074624,4485.22,3532.14
3.079911,4485.22,3552.43
3.085128,4485.22,3572.71
3.090323,4485.22,3593.43
3.095737,4485.22,3614.57
3.101008,4485.22,3635.43
3.106264,4485.22,3656.14
3.11148,4485.22,3676.57
3.116756,4485.22,3697.14
3.121995,4485.22,3717.14
3.127291,4485.22,3737.43
3.13249,4485.22,3757.14
3.13774,4485.22,3776.86
3.143161,4485.22,3797.14
3.148451,4485.22,3816.57
3.153724,4485.22,3835.57
3.158945,4485.22,3854.71
3.164157,4485.22,3873.14
3.169425,4485.22,3892.0
3.174925,4485.22,3911.57
3.18022,4485.22,3930.29
3.185471,4485.22,3948.43
3.190767,4485.22,3966.86
3.196032,4485.22,3985.29
3.201251,4485.22,4003.29
3.20645,4485.22,4021.57
3.21164,4485.22,4039.14
3.216868,4485.22,4057.43
3.222059,4485.22,4075.29
3.227275,4485.22,4093.14
3.232476,4485.22,4111.14
3.237697,4485.22,4128.86
3.242943,4485.22,4147.0
3.248229,4485.22,4165.57
3.253475,4485.22,4183.29
3.258672,4485.22,4201.29
3.263948,4485.22,4219.57
3.269188,4485.22,4238.14
3.2744,4485.22,4255.43
3.279623,4485.22,4273.43
3.284892,4485.22,4291.71
3.290166,4485.22,4309.86
3.29558,4485.22,4328.86
3.301032,4485.22,4347.71
3.306312,4485.22,4365.71
3.31173,4485.22,4384.43
3.317063,4485.22,4402.86
3.322346,4485.22,4420.43
3.327589,4485.22,4436.43
3.332831,4485.22,4450.14
3.338018,4485.22,4461.57
3.343196,4485.22,4471.0
3.348386,4485.22,4478.71
3.353568,4485.22,4484.43
3.35875,4485.22,4488.43
3.363952,4485.22,4491.29
3.369108,4485.22,4493.0
3.374289,4485.22,4493.71
3.379534,4485.22,4493.57
3.384773,4485.22,4493.0
3.390017,4485.22,4491.86
3.395228,4485.22,4490.14
3.400423,4485.22,4488.29
3.405608,4485.22,4486.43
3.41102,4485.22,4484.29
3.416397,4485.22,4482.14
3.421666,4485.22,4480.0
3.426912,4485.22,4478.0
3.432115,4485.22,4476.29
3.437382,4485.22,4474.43
3.442809,4485.22,4472.86
3.448237,4485.22,4471.43
3.453553,4485.22,4470.29
3.458761,4485.22,4469.29
3.463926,4485.22,4468.14
3.469075,4485.22,4467.57
3.474325,4485.22,4467.0
3.479574,4485.22,4466.43
3.484783,4485.22,4466.14
3.490036,4485.22,4465.86
